date,site_id,influent_bod,influent_cod,influent_tss,effluent_bod,effluent_cod,effluent_tss,nh4,no3,po4,flow_m3d,temperature_c,aeration_kwh,energy_kwh
2019-01-01,WWTP_01,32.76,157.97,63.78,2.59,27.06,13.86,0.55,7.82,1.72,1849.36,17.02,77.27,944.81
2019-01-02,WWTP_01,33.19,140.46,65.84,4.01,29.33,,2.05,2.86,0.81,2465.45,18.19,79.95,1290.1
2019-01-03,WWTP_01,40.2,158.58,63.41,5.35,34.83,16.68,0.69,7.74,1.96,4233.59,14.49,95.69,2241.59
2019-01-04,WWTP_01,33.87,150.16,62.61,3.4,28.6,14.74,0.63,7.53,0.77,3650.09,16.19,132.01,1761.08
2019-01-05,WWTP_01,35.63,161.66,60.12,4.38,34.04,15.3,2.63,4.24,0.82,3170.78,12.87,71.14,1714.74
2019-01-06,WWTP_01,37.01,161.81,65.46,5.28,36.95,17.75,1.47,2.82,1.82,3493.19,15.33,96.65,1824.68
2019-01-07,WWTP_01,37.65,151.13,65.75,3.87,29.09,15.61,0.89,6.43,1.66,3245.11,17.14,165.65,2125.43
2019-01-08,WWTP_01,33.5,154.21,63.12,4.66,34.74,16.94,0.69,6.0,0.91,3034.28,16.36,111.56,1664.41
2019-01-09,WWTP_01,33.81,161.14,62.72,4.53,35.53,16.54,2.95,7.05,1.46,4485.84,16.21,170.55,2550.66
2019-01-10,WWTP_01,35.8,154.9,65.42,4.98,34.87,17.54,1.21,4.79,1.78,4442.92,17.32,112.61,2310.61
2019-01-11,WWTP_01,34.7,155.09,64.81,4.08,31.94,16.2,1.95,6.48,1.02,4887.13,17.24,194.37,2636.08
2019-01-12,WWTP_01,32.2,150.47,60.53,4.71,34.86,16.61,2.19,5.3,0.5,2114.59,17.44,71.73,1159.18
2019-01-13,WWTP_01,36.28,156.94,65.86,2.68,26.12,14.01,1.28,6.68,1.05,3529.22,15.78,145.03,1821.58
2019-01-14,WWTP_01,35.8,154.1,66.37,4.7,33.63,17.37,0.8,5.88,1.59,1066.35,15.23,146.78,686.81
2019-01-15,WWTP_01,36.77,151.64,65.52,5.01,33.76,17.42,1.57,3.04,2.02,4509.36,18.26,88.69,2447.76
2019-01-16,WWTP_01,36.8,165.39,71.32,4.63,35.27,18.33,0.96,7.77,1.98,3532.41,16.36,158.89,1793.05
2019-01-17,WWTP_01,37.03,164.58,64.43,5.52,38.54,17.83,1.0,6.39,0.47,1643.23,20.77,132.31,1058.86
2019-01-18,WWTP_01,38.5,161.76,60.94,4.86,34.56,15.68,1.57,6.91,1.58,4396.89,20.97,64.05,2452.18
2019-01-19,WWTP_01,33.16,152.8,66.49,2.88,27.23,14.88,2.76,5.47,1.46,2970.07,19.09,79.29,1468.02
2019-01-20,WWTP_01,37.9,157.75,63.49,5.01,34.56,16.66,3.14,8.21,2.05,2480.63,20.77,194.54,1427.58
2019-01-21,WWTP_01,35.09,162.24,67.09,,,16.81,1.23,5.85,2.09,3784.12,19.38,135.51,2050.66
2019-01-22,WWTP_01,34.42,163.99,64.15,2.61,27.61,13.76,2.56,6.75,1.12,2174.37,21.34,180.06,1318.62
2019-01-23,WWTP_01,36.14,162.95,68.36,3.07,28.76,15.19,2.59,7.33,2.03,2351.98,20.56,106.34,1298.83
2019-01-24,WWTP_01,34.43,157.55,62.49,3.3,29.33,14.46,1.56,6.12,0.58,1149.39,19.84,69.06,752.65
2019-01-25,WWTP_01,39.31,158.64,65.79,5.56,36.06,17.78,0.99,5.79,1.46,3549.72,18.48,158.91,1935.29
2019-01-26,WWTP_01,37.12,164.22,62.31,,34.59,,1.97,3.1,0.59,4850.59,22.27,111.34,2623.22
2019-01-27,WWTP_01,35.61,156.1,65.19,2.8,,14.13,2.54,4.33,2.18,3951.59,18.27,133.15,1976.26
2019-01-28,WWTP_01,40.01,153.69,60.44,2.97,25.63,12.88,0.94,3.37,0.65,1162.92,22.61,121.13,780.05
2019-01-29,WWTP_01,36.33,152.55,60.45,3.87,29.89,14.54,1.91,6.39,1.66,1181.22,21.74,106.19,702.65
2019-01-30,WWTP_01,41.11,160.64,67.11,5.5,35.4,17.69,1.11,6.57,0.63,3343.1,22.41,108.23,1845.99
2019-01-31,WWTP_01,35.23,170.95,66.48,3.92,34.23,16.27,3.35,8.17,0.93,1277.45,22.55,65.12,655.2
2019-02-01,WWTP_01,36.92,163.66,63.07,5.45,38.12,17.38,2.99,4.45,0.81,3786.95,24.43,160.26,2084.46
2019-02-02,WWTP_01,35.29,163.67,66.17,2.45,26.58,13.82,3.45,5.26,1.25,4105.65,21.43,101.12,2309.23
2019-02-03,WWTP_01,35.72,156.03,65.34,2.13,23.99,13.12,2.25,7.77,1.17,4582.09,23.72,192.59,2470.62
2019-02-04,WWTP_01,40.46,164.93,59.22,4.74,33.88,14.78,2.68,7.34,1.98,4158.47,22.39,63.68,2073.0
2019-02-05,WWTP_01,36.66,146.07,69.95,2.24,22.66,14.13,1.89,3.55,0.88,4046.04,21.86,62.62,2110.01
2019-02-06,WWTP_01,35.86,159.89,66.36,5.09,36.4,17.96,1.23,8.79,1.28,2482.57,25.46,171.92,1346.78
2019-02-07,WWTP_01,39.49,146.51,69.43,2.34,22.48,13.92,1.31,5.85,0.68,2874.64,24.57,161.91,1516.5
2019-02-08,WWTP_01,37.79,159.33,60.43,2.39,24.99,12.31,1.61,8.69,0.69,4879.52,22.44,56.47,2503.2
2019-02-09,WWTP_01,38.81,161.7,64.97,3.79,30.39,15.14,2.63,7.11,1.45,3510.23,26.08,56.82,1830.27
2019-02-10,WWTP_01,36.67,164.77,60.49,4.81,35.93,15.82,2.23,5.07,1.67,1310.94,26.1,196.16,660.36
2019-02-11,WWTP_01,37.65,162.4,67.8,5.04,35.79,17.88,3.36,7.91,2.3,3902.88,22.09,189.91,2324.49
2019-02-12,WWTP_01,36.82,157.34,65.81,4.12,31.58,16.13,3.52,8.05,2.12,2874.77,22.73,112.22,1538.75
2019-02-13,WWTP_01,36.89,160.65,65.87,1.85,23.3,,3.6,6.34,2.01,4779.06,24.22,117.58,2569.4
2019-02-14,WWTP_01,34.31,162.36,68.18,3.92,32.92,16.84,1.4,7.06,1.6,4089.27,28.39,128.02,2189.66
2019-02-15,WWTP_01,39.39,165.36,65.54,4.32,32.86,15.94,1.46,3.22,2.0,3481.24,23.56,70.46,1879.68
2019-02-16,WWTP_01,33.65,167.93,67.73,3.88,34.2,16.79,2.43,7.77,1.4,3488.35,25.4,179.35,1922.06
2019-02-17,WWTP_01,38.75,157.63,60.12,2.01,23.14,11.67,2.38,5.06,1.81,1960.58,26.59,77.28,963.59
2019-02-18,WWTP_01,38.68,157.62,71.31,5.14,34.6,18.74,1.64,3.35,1.03,2114.36,25.39,76.55,990.32
2019-02-19,WWTP_01,36.84,159.76,58.33,2.98,27.62,12.76,1.27,7.92,1.82,1327.04,25.98,170.93,812.35
2019-02-20,WWTP_01,35.78,162.95,63.57,3.63,31.19,15.02,2.73,5.35,1.54,3989.88,23.92,55.5,2135.58
2019-02-21,WWTP_01,35.31,159.69,68.15,3.42,29.88,15.83,1.46,5.84,1.67,1969.88,25.03,53.01,895.73
2019-02-22,WWTP_01,35.2,155.64,62.96,2.15,24.1,12.71,2.69,7.25,2.11,2993.77,26.0,63.04,1797.36
2019-02-23,WWTP_01,39.38,156.97,70.06,5.41,35.09,18.68,1.92,5.36,1.87,3283.11,24.07,65.27,1763.12
2019-02-24,WWTP_01,36.47,155.91,64.2,4.43,32.64,16.26,1.65,8.58,0.92,3098.05,26.19,111.56,1699.61
2019-02-25,WWTP_01,37.25,161.13,66.2,4.63,34.13,16.92,1.66,7.23,2.37,3227.05,23.83,165.42,1833.29
2019-02-26,WWTP_01,36.32,153.74,66.24,4.57,32.78,17.02,1.53,6.9,1.28,3324.95,21.84,73.15,2014.01
2019-02-27,WWTP_01,34.25,158.91,64.21,4.68,35.42,17.08,1.41,9.19,1.35,4239.5,29.14,164.03,2170.81
2019-02-28,WWTP_01,36.06,174.44,60.15,2.06,26.4,11.94,3.33,9.05,1.02,3923.47,25.54,190.75,2201.29
2019-03-01,WWTP_01,40.69,159.16,65.83,2.87,26.01,13.82,1.77,4.26,1.09,4258.3,28.33,103.82,2440.51
2019-03-02,WWTP_01,37.02,165.61,64.77,4.16,33.3,15.9,2.43,5.1,2.09,3010.88,30.48,84.83,1566.35
